OBJECTID,LM_ID,LM_NAME,CATEGORY,LM_TYPE,SDA_CAT,STR_ADDR,UNIT,MUN,PR,POSTAL,PHONE,WEBSITE,Type,ExtDay,WARDNUM,ROPADRID,x,y
1,CC-OTH-233,123 TLC Preschool,Social Services,Child Care (Other),Child Care Centre,322 Queen St S,,Mississauga,ON,L5N 3E4,905-609-0881,https://peelchildcare.cioc.ca/record/CDR0554,Community-Based For-Profit Centre,No,11,93448,-8873465.682,5400660.93
2,CC-OTH-123,ABC Montessori II,Social Services,Child Care (Other),Child Care Centre,285 Matheson Blvd E,,Mississauga,ON,L4Z 1X8,905-568-1716,https://peelchildcare.cioc.ca/record/CDR0546,Community-Based For-Profit Centre,No,5,42542,-8867820.14,5407121.75
3,CC-OTH-154,Absolute Angels,Social Services,Child Care (Other),Child Care Centre,222 Salvation Rd,,Brampton,ON,L7A 0W9,905-970-0415,https://peelchildcare.cioc.ca/record/CDR0430,Community-Based For-Profit Centre,No,6,,-8886153.322,5416148.096
4,CC-OTH-280,Absolute Angels II Daycare,Social Services,Child Care (Other),Child Care Centre,10635 Creditview Rd,,Brampton,ON,L7A 0T4,905-970-9581,https://peelchildcare.cioc.ca/record/CDR1321,Community-Based For-Profit Centre,No,6,,-8887284.646,5417504.561
5,CC-PLP-207,Active Learning Centre (St. Thomas Aquinas) (PLASP),Social Services,Child Care (PLASP),Child Care Centre,25 Corporation Dr,,Brampton,ON,L6S 6A2,905-799-0685,https://peelchildcare.cioc.ca/record/CDR0397,School-Based Centre,No,8,,-8873366.868,5425138.294
6,CC-OTH-234,Advanced Care and Education Daycare,Social Services,Child Care (Other),Child Care Centre,5575 Bonnie St,,Mississauga,ON,L5M 0N8,905-270-4555,https://peelchildcare.cioc.ca/record/CDR0980,Community-Based Non-Profit Centre,No,10,294982,-8876031.469,5397517.153
7,CC-PLP-125,Agnes Taylor (PLASP),Social Services,Child Care (PLASP),Child Care Centre,80 Beech St,,Brampton,ON,L6V 1V6,905-890-1711,https://peelchildcare.cioc.ca/record/CDR0748,School-Based Centre,Yes,1,172865,-8878634.394,5418816.625
8,CC-OTH-207,Akal Child Care,Social Services,Child Care (Other),Child Care Centre,4535 Ebenezer Rd ,2,Brampton,ON,L6P 2P7,905-913-7333,https://peelchildcare.cioc.ca/record/CDR1632,Community-Based For-Profit Centre,No,8,283023,-8867885.156,5430396.686
9,CC-OTH-369,Alder Ridge Academy,Social Services,Child Care (Other),Child Care Centre,25 Kings Cross Rd,,Brampton,ON,L6T3V5,905-699-2060,https://peel.cioc.ca/record/CDR1804?Number=0,Community-Based For-Profit Centre,No,7,301000,-8874130.727,5422247.669
10,CC-PLP-009b,All Saints (PLASP),Social Services,Child Care (PLASP),Child Care Centre,4105 Colonial Dr,,Mississauga,ON,L5L 4E8,905-890-1711,https://peelchildcare.cioc.ca/record/CDR0647,School-Based Centre,Yes,8,240440,-8873337.412,5393271.036
11,CC-PLP-009a,All Saints Early Learning Centre (PLASP),Social Services,Child Care (PLASP),Child Care Centre,4105 Colonial Dr,,Mississauga,ON,L5L 4E8,905-890-1711,https://peelchildcare.cioc.ca/record/CDR0474,School-Based Centre,No,8,,-8873284.275,5393289.414
12,CC-YMC-076,Alloa (YMCA),Social Services,Child Care (YMCA),Child Care Centre,12287 Mississauga Rd,,Caledon,ON,L7C 1X1,905-843-2332,https://peelchildcare.cioc.ca/record/CDR1352,School-Based Centre,Yes,2,406066,-8891497.429,5419498.375
13,CC-PLP-173,Aloma Cr. (PLASP),Social Services,Child Care (PLASP),Child Care Centre,57 Aloma Cres,,Brampton,ON,L6T 2N8,905-890-1711,https://peelchildcare.cioc.ca/record/CDR1043,School-Based Centre,Yes,7,84476,-8872587.252,5420365.605
14,CC-OTH-199,Alpha Child Care I,Social Services,Child Care (Other),Child Care Centre,900 Peter Robertson Blvd ,10,Brampton,ON,L6R 1A2,905-458-4884,https://peelchildcare.cioc.ca/record/CDR0378,Community-Based For-Profit Centre,No,9,187302,-8877365.37,5426457.22
15,CC-OTH-153,Alpha Child Care II - Cathedral,Social Services,Child Care (Other),Child Care Centre,3 Cathedral Rd,,Brampton,ON,L6W 2P1,905-456-1811,https://peelchildcare.cioc.ca/record/CDR0404,Community-Based For-Profit Centre,No,3,390928,-8876943.013,5415886.404
16,CC-OTH-235,Alpha's Preschool Academy,Social Services,Child Care (Other),Child Care Centre,6435 Erin Mills Pky,,Mississauga,ON,L5T 2H9,905-812-8880,https://peelchildcare.cioc.ca/record/CDR0596,Community-Based For-Profit Centre,No,11,326419,-8876683.224,5401742.422
17,CC-YMC-082,Alton YMCA,Social Services,Child Care (YMCA),Child Care Centre,19681 Main St,,Caledon,ON,L7K 0E1,1-866-317-6251,https://peelchildcare.cioc.ca/record/CDR1717,School-Based Centre,Yes,1,402119,-8912804.711,5443522.535
18,CC-OTH-138,Angelic Treasures Christian Child Care,Social Services,Child Care (Other),Child Care Centre,6970 Vicar Gate,,Mississauga,ON,L5W 1G7,905-670-6614,https://peelchildcare.cioc.ca/record/CDR0548,Community-Based For-Profit Centre,No,11,212098,-8874301.877,5408916.319
19,CC-OTH-358,Angelic Treasures Christian Daycare,Social Services,Child Care (Other),Child Care Centre,2626 Mayfield Rd,,Caledon,ON,L7C 3K7,905-495-1417,https://peel.cioc.ca/record/CDR1758?Number=0 ,Community-Based For-Profit Centre,No,2,74995,-8887024.484,5423364.48
